SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,19556,4.05
BHARATFORG,Bharat Forge Limited,EQ,04-Apr-03,422,1383.3
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-95,3834,9968
BHARATSE,Bharat Seats Limited,EQ,24-Mar-25,30244,168.88
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-Apr-16,16123,175.03
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,10604,2089.7
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-Apr-24,23489,1695.8
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,438,277
BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-16,18431,65.91
BIKAJI,Bikaji Foods International Limited,EQ,16-Nov-22,11966,705
BIL,Bhartiya International Limited,EQ,12-Apr-00,7848,768.8
BIOCON,Biocon Limited,EQ,07-Apr-04,11373,383.65
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-96,4136,33.8
BIRLACABLE,Birla Cable Limited,EQ,06-Dec-95,477,134.32
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,480,1044.5
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-Feb-08,15239,147.54
BIRLANU,BirlaNu Limited,EQ,26-Apr-95,1455,1590.6
BLACKBUCK,BLACKBUCK LIMITED,EQ,22-Nov-24,27144,626.15
BLAL,BEML Land Assets Limited,EQ,19-Apr-23,15067,203.92
BLBLIMITED,BLB Limited,EQ,31-May-00,8132,14.44
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-10,19265,162.19
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,13290,46.71
BLS,BLS International Services Limited,EQ,14-Jun-16,17279,319.9
BLSE,BLS E-Services Limited,EQ,06-Feb-24,22566,207.94
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-02,495,5421
BLUEJET,Blue Jet Healthcare Limited,EQ,01-Nov-23,19686,547.5
BLUESTARCO,Blue Star Limited,EQ,15-Jun-00,8311,1738.6
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,19-Aug-25,759291,552.85
BLUSPRING,Bluspring Enterprises Limited,EQ,11-Jun-25,757520,65.9
BMWVENTLTD,BMW Ventures Limited,EQ,01-Oct-25,759256,61.52
BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-11,25017,51.38
BOHRAIND,Bohra Industries Limited,EQ,27-Oct-22,11640,20.28
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,513,131.24
BOROLTD,Borosil Limited,EQ,22-Jul-20,19401,307
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,3149,546.7
BOROSCI,Borosil Scientific Limited,EQ,07-Jun-24,24014,123.71
BOSCHLTD,Bosch Limited,EQ,12-May-03,2181,36780
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,526,355.05
BPL,BPL Limited,EQ,14-Jun-95,530,55.79
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-07,15184,855.95
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-Jul-25,757794,72.83
BRITANNIA,Britannia Industries Limited,EQ,05-Nov-98,547,5884
BRNL,Bharat Road Network Limited,EQ,18-Sep-17,21683,22.55
BROOKS,Brooks Laboratories Limited,EQ,05-Sep-11,25136,96.71
BSE,BSE Limited,EQ,03-Feb-17,19585,2715.8
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-Oct-20,809,96.91
BSL,BSL Limited,EQ,27-Jul-95,559,158.42
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-99,6994,430.4
BTML,Bodhi Tree Multimedia Limited,EQ,15-Feb-23,14150,8.36
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,2716,667.35
BYKE,The Byke Hospitality Ltd,EQ,15-Apr-15,7919,51.68
CALSOFT,California Software Company Limited,EQ,28-Jun-00,8341,16.42
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-15,6216,149.35
CAMPUS,Campus Activewear Limited,EQ,09-May-22,9362,270.85
CAMS,Computer Age Management Services Limited,EQ,07-May-21,342,749.5
CANBK,Canara Bank,EQ,23-Dec-02,10794,146.19
CANFINHOME,Can Fin Homes Limited,EQ,10-May-95,583,906.85
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-Oct-25,759477,122.58
CANTABIL,Cantabil Retail India Limited,EQ,12-Oct-10,20160,267.56
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-17,21749,259.7
CAPILLARY,Capillary Technologies India Limited,EQ,21-Nov-25,759867,705.55
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-Feb-24,22675,268.45
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-14,3906,1904.8
CAPTRUST,Capital Trust Limited,EQ,16-Jan-17,19447,11.83
CARBORUNIV,Carborundum Universal Limited,EQ,03-Apr-96,595,871
CARERATING,CARE Ratings Limited,EQ,26-Dec-12,29113,1550.1
CARRARO,Carraro India Limited,EQ,30-Dec-24,28879,515.4
CARTRADE,Cartrade Tech Limited,EQ,20-Aug-21,5407,2716.5
CARYSIL,CARYSIL LIMITED,EQ,14-Jan-21,1879,936.8
CASTROLIND,Castrol India Limited,EQ,14-Mar-14,1250,188.71
CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-Feb-15,6385,15.42
CCL,CCL Products (India) Limited,EQ,07-Jun-04,11452,975.3
CDSL,Central Depository Services (India) Limited,EQ,30-Jun-17,21174,1517.2
CEATLTD,CEAT Limited,EQ,01-Feb-08,15254,3849.4
CEIGALL,Ceigall India Limited,EQ,08-Aug-24,24742,226.39
CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-06,13162,8.57
CELLO,Cello World Limited,EQ,06-Nov-23,19795,539.55
CEMPRO,Cemindia Projects Limited,EQ,10-Feb-99,5622,822.7
CENTENKA,Century Enka Limited,EQ,10-May-95,619,424.15
CENTRALBK,Central Bank of India,EQ,21-Aug-07,14894,36.48
CENTRUM,Centrum Capital Limited,EQ,04-Apr-18,2454,29.49
CENTUM,Centum Electronics Limited,EQ,05-Oct-07,14982,2242
